year,tax_type,collections_usd,collections_b
2013,Local Property Tax,9642400000.0,9.6424
2013,State Sales and Use Tax,4410100000.0,4.4101
2014,Corporate Income Tax,967200000.0,0.9672
2014,Individual Income Tax,7061400000.0,7.0614
2014,Local Property Tax,9778600000.0,9.7786
2014,State Sales and Use Tax,4628300000.0,4.6283
2015,Corporate Income Tax,1004900000.0,1.0049
2015,Individual Income Tax,7325800000.0,7.3258
2015,Local Property Tax,9554900000.0,9.5549
2015,State Sales and Use Tax,4892100000.0,4.8921
2016,Corporate Income Tax,963000000.0,0.963
2016,Individual Income Tax,7740800000.0,7.7408
2016,Local Property Tax,9683800000.0,9.6838
2016,State Sales and Use Tax,5065800000.0,5.0658
2017,Corporate Income Tax,920900000.0,0.9209
2017,Individual Income Tax,8039500000.0,8.0395
2017,Local Property Tax,9853200000.0,9.8532
2017,State Sales and Use Tax,5223900000.0,5.2239
2018,Corporate Income Tax,893900000.0,0.8939
2018,Individual Income Tax,8479200000.000001,8.4792
2018,Local Property Tax,10076100000.0,10.0761
2018,State Sales and Use Tax,5448100000.0,5.4481
2019,Corporate Income Tax,1338100000.0,1.3381
2019,Individual Income Tax,8994100000.0,8.9941
2019,Local Property Tax,10258900000.0,10.2589
2019,State Sales and Use Tax,5695600000.0,5.6956
2020,Corporate Income Tax,1607900000.0,1.6079
2020,Individual Income Tax,8742300000.0,8.7423
2020,Local Property Tax,10678200000.0,10.6782
2020,State Sales and Use Tax,5836200000.0,5.8362
2021,Corporate Income Tax,2560100000.0,2.5601
2021,Individual Income Tax,9283400000.0,9.2834
2021,Local Property Tax,11436900000.0,11.4369
2021,State Sales and Use Tax,6373500000.0,6.3735
2022,Corporate Income Tax,2960000000.0,2.96
2022,Individual Income Tax,9214400000.0,9.2144
2022,Local Property Tax,11267800000.0,11.2678
2022,State Sales and Use Tax,6978300000.0,6.9783
2023,Corporate Income Tax,2748500000.0,2.7485
2023,Individual Income Tax,9414700000.0,9.4147
2023,Local Property Tax,11565700000.0,11.5657
2023,State Sales and Use Tax,7456100000.0,7.4561
2024,Corporate Income Tax,2702100000.0,2.7021
2024,Individual Income Tax,9717700000.0,9.7177
2024,Local Property Tax,11891700000.0,11.8917
2024,State Sales and Use Tax,7587500000.0,7.5875
2025,Corporate Income Tax,2761700000.0,2.7617
2025,Individual Income Tax,10451100000.0,10.4511
2025,Local Property Tax,12402200000.0,12.4022
2025,State Sales and Use Tax,7831600000.0,7.8316
